"Month","Rovaniemi Domestic nights","Rovaniemi Foreign nights","Rovaniemi Average room price","Rovaniemi Average price per night","Rovaniemi Nights spent"
"1995M01",9018,13099,48.99,33.76,22117
"1995M02",9673,14619,48.88,36.05,24292
"1995M03",11789,16977,49.18,32.11,28766
"1995M04",11394,5988,46.95,30.32,17382
"1995M05",7845,3563,44.77,32.22,11408
"1995M06",10279,24187,47.14,27.52,34466
"1995M07",11151,27363,50.07,27.74,38514
"1995M08",9781,11135,56.06,34.13,20916
"1995M09",13548,3069,52.42,32.19,16617
"1995M10",10005,2532,46.73,33.81,12537
"1995M11",9998,6582,48.48,31.64,16580
"1995M12",7774,20271,63.12,35.90,28045
"1996M01",9800,11010,51.93,36.36,20810
"1996M02",7612,13118,55.07,39.89,20730
"1996M03",12904,14235,54.04,35.83,27139
"1996M04",9405,4794,54.88,35.35,14199
"1996M05",7067,4041,54.39,37.32,11108
"1996M06",11544,18227,49.03,29.82,29771
"1996M07",10482,19122,47.81,26.07,29604
"1996M08",9047,9862,51.37,31.42,18909
"1996M09",13265,3164,51.88,35.34,16429
"1996M10",10654,2217,49.93,35.99,12871
"1996M11",10307,8697,49.90,32.65,19004
"1996M12",8292,19460,64.07,35.73,27752
"1997M01",10596,13115,56.77,36.93,23711
"1997M02",9987,14042,55.02,40.44,24029
"1997M03",10653,10837,54.84,34.97,21490
"1997M04",10496,4445,54.11,38.65,14941
"1997M05",7775,3034,53.35,37.40,10809
"1997M06",12962,13461,49.59,30.80,26423
"1997M07",9276,16623,49.80,28.19,25899
"1997M08",10913,11317,52.26,31.39,22230
"1997M09",11754,3345,52.20,36.42,15099
"1997M10",10195,2648,54.24,37.29,12843
"1997M11",11174,8260,54.45,35.42,19434
"1997M12",8872,21840,69.04,37.41,30712
"1998M01",10400,16758,63.46,39.49,27158
"1998M02",8961,12948,58.42,42.45,21909
"1998M03",12173,14956,59.79,40.45,27129
"1998M04",10842,5788,59.42,37.83,16630
"1998M05",8722,3587,56.09,40.15,12309
"1998M06",11048,12551,53.86,33.29,23599
"1998M07",24117,16133,55.27,30.26,40250
"1998M08",16071,10648,54.50,31.77,26719
"1998M09",11658,3788,53.61,34.88,15446
"1998M10",11269,2755,59.04,41.79,14024
"1998M11",11242,5903,57.68,39.60,17145
"1998M12",12156,23113,80.02,45.80,35269
"1999M01",12907,13743,69.64,46.12,26650
"1999M02",10446,15603,59.19,43.63,26049
"1999M03",13750,13473,64.08,41.36,27223
"1999M04",14020,6803,64.43,41.56,20823
"1999M05",9031,3179,61.33,43.83,12210
"1999M06",11061,11050,57.74,33.55,22111
"1999M07",15428,15077,56.03,29.66,30505
"1999M08",12117,10284,58.85,34.29,22401
"1999M09",14249,4429,61.65,43.41,18678
"1999M10",12623,2670,58.41,37.02,15293
"1999M11",11018,7265,66.43,43.47,18283
"1999M12",11923,29283,74.29,40.38,41206
"2000M01",11223,22191,67.15,41.11,33414
"2000M02",9866,17115,67.25,47.07,26981
"2000M03",13910,16295,63.62,41.15,30205
"2000M04",11331,7229,65.07,41.02,18560
"2000M05",8600,2710,63.86,44.64,11310
"2000M06",10663,11649,59.68,35.07,22312
"2000M07",13076,15845,57.45,30.31,28921
"2000M08",10231,11390,58.60,34.70,21621
"2000M09",13502,3432,59.98,40.70,16934
"2000M10",10225,2043,67.34,48.40,12268
"2000M11",10648,7324,64.76,43.18,17972
"2000M12",10330,36712,87.66,42.25,47042
"2001M01",11245,26158,78.22,45.09,37403
"2001M02",10245,22958,67.53,45.95,33203
"2001M03",12931,20814,70.90,45.72,33745
"2001M04",9863,6060,67.42,40.48,15923
"2001M05",7934,2946,61.58,44.77,10880
